CountyName,year,%WhiteDiabetes,%WhiteObesity,%BlackDiabetes,%BlackObesity,%AsianDiabetes,%AsianObesity,%NHOPIDiabetes,%NHOPIObesity,%AIANDiabetes,%AIANObesity,%OMultirDiabetes,%OMultirObesity,%HispanicDiabetes,%HispanicObesity
Yavapai,2021,10.559192637190675,27.463375858684984,10.46527229676401,27.62359905288082,10.195854341736695,26.690924369747897,10.306572769953052,27.310798122065727,10.784615384615384,28.403099464637926,10.541167855323485,28.168867804381048,10.508023531049847,28.123600668337513
Yuma,2021,13.209409563319094,39.27944096721085,11.804299160518951,38.83299414907149,11.175086058519794,37.751290877796905,11.83496732026144,38.23986928104575,13.841197643979058,40.66397251308901,13.733726400431062,41.25519449567902,13.700977658409744,41.40621065416724
Apache,2022,15.857142857142856,33.87364417989418,17.272483221476513,36.272483221476506,19.463529411764707,37.924705882352946,20.038888888888888,38.21666666666667,21.907072895708506,40.23413960069867,17.964832285115303,36.37054507337527,16.62253032928943,35.14121894858463
Cochise,2022,13.908087515641066,33.041135076873516,11.112578179291175,31.26140838545286,12.073133543638276,31.611356466876973,12.206116207951071,31.953516819571863,14.14508126603935,33.40265183917878,14.930546479595105,34.60089051188417,15.703393778954336,35.38308405029781
Coconino,2022,8.437513814597056,24.89040714380443,7.322447013487476,25.687186897880537,7.168285123966942,25.13471074380165,8.201063829787234,25.227659574468085,16.908295454545456,32.589163223140496,9.48258797653959,26.265762463343105,9.256616236948648,26.153867462177715
Gila,2022,15.906603177688158,32.57685729556387,15.563090128755366,32.93562231759656,15.423076923076923,32.412454212454215,15.808510638297872,32.39787234042553,20.135489554492825,41.91662471683866,16.283460365853657,33.793597560975606,16.128994576554025,33.78835002085941
Graham,2022,12.500879710739182,38.84734782122488,11.6099560761347,39.15519765739384,12.100000000000001,38.5085,11.249999999999998,38.44615384615384,19.309765625000004,48.570535714285704,12.705756981871632,39.12488975992161,12.747429328621909,39.29327738515901
Greenlee,2022,12.297129260055268,32.88128645993245,11.334831460674158,32.66404494382022,10.758695652173913,32.428260869565214,13.100000000000001,33.28,11.804615384615385,32.82153846153846,11.592380352644838,32.72978589420655,11.911930693069307,32.83975247524753
La Paz,2022,17.690317279737076,35.16283655669321,16.47216494845361,35.52680412371134,16.78690476190476,35.72142857142857,16.400000000000002,37.3,17.760604854755275,38.46199761241545,17.11617482256257,37.310496824803884,17.33349986852485,37.48987641335788
Maricopa,2022,11.644198329777486,32.676308332654315,11.812525288398728,35.199913749912795,10.516770381545037,31.881230749889994,11.3066085156712,34.22143701951508,12.883936615991875,36.42678231769232,12.68758754228041,36.505091490956076,12.722424981445272,36.52770974089628
Mohave,2022,16.171983181499648,37.31454333099743,16.31610644257703,37.640896358543415,16.037702871410737,36.92147315855181,15.93,37.70428571428571,17.54498009730208,42.0406015037594,16.325112523166535,37.91248345247551,16.33155332056194,37.8937340357599
Navajo,2022,14.092440454500283,35.69614403551197,14.305137395459974,37.847550776583034,16.24625322997416,38.96020671834626,15.818750000000001,37.63541666666667,20.089427255060375,42.64873463327292,15.154206418039898,37.63130962705984,14.747747747747747,37.39781381381381
Pima,2022,12.607546260403016,31.970457664098355,12.717313229277163,33.710012880739505,11.641006977561368,31.240816224085137,12.47833594976452,33.398979591836735,16.200437295611835,38.07516160924785,14.138395212167017,35.40244096188552,14.205211275187052,35.345064862828124
Pinal,2022,15.139884775477578,37.62066529757146,14.026923076923078,39.481562252180815,13.408737223870757,38.12205736894164,13.786377708978328,38.84024767801858,17.966970802919707,45.03171380778589,15.708530361420687,40.09688574106864,15.853091581138306,40.11387533194574
Santa Cruz,2022,20.19357762777242,32.71658630665381,20.797,33.087,19.624683544303796,33.11518987341772,20.050000000000004,33.724999999999994,19.98888888888889,31.98379629629629,20.80662141779789,33.707797888386125,20.87559791721825,33.85946959668167
Yavapai,2022,13.833494936078367,28.362065415905697,13.712911392405063,28.690379746835443,13.496989247311827,27.49655913978495,13.482857142857144,28.248571428571427,14.28899430740038,29.6550284629981,13.663639301874595,29.030478345184225,13.563167555283629,29.01818022900096
Yuma,2022,15.47953495517442,40.98004411232182,14.378704986149584,41.08102493074792,13.549116022099447,39.65950276243094,13.321198156682026,39.91290322580645,16.499006211180124,42.75022774327122,16.351836555910143,42.76941993617421,16.323279932206127,42.785106869510244
